name,domain,website,contact_email,jurisdiction
"DealerSocket, LLC (US)",dealersocket.com,www.dealersocket.com,Privacy@Solera.com,CA
DealerX Partners LLC,dealerx.com,https://www.dealerx.com,privacy@dealerx.com,CA
Dealfront Finland Oy,leadfeeder.com,https://www.leadfeeder.com,dpo@leadfeeder.com,CA
Dealfront Group GmbH,leadfeeder.com,https://www.leadfeeder.com,legal@dealfront.com,CA
"Deep Root Analytics, LLC",deeprootanalytics.com,deeprootanalytics.com,notice@deeprootanalytics.com,CA
Deloitte Consulting LLP,deloitte.com,www.deloitte.com; https://healthprism.ai; https://peopleprism.ai; https://giveprism.ai,usprivacyquestions@deloitte.com,CA
Deloitte Financial Advisory Services LLP,deloitte.com,www.deloitte.com,usprivacyquestions@deloitte.com,CA
"Demandbase, Inc.",demandbase.com,www.demandbase.com,privacy@demandbase.com,CA
"Digital Media Solutions, LLC",digitalmediasolutions.com,digitalmediasolutions.com,ComplianceDept@dmsgroup.com,CA
Disco Technology Inc,disconetwork.com,www.disconetwork.com,privacy@disconetwork.com,CA
"DR Decision Resources, LLC",clarivate.com,https://clarivate.com,drgdsr@clarivate.com,CA
"Draup, Inc.",draup.com,https://www.draup.com,amareshr@draup.com,CA
"Drivers History Information Sales, LLC",transunion.com,www.transunion.com,privacy@transunion.com,CA
"DSPolitical, LLC",dspolitical.com,https://www.dspolitical.com,andy@mstreetlegal.com,CA
"Dstillery, Inc.",dstillery.com,dstillery.com,privacy@dstillery.com,CA
"DTN, LLC",dtn.com,www.dtn.com,legal@dtn.com,CA
"e.Republic, LLC",erepublic.com,erepublic.com; govtech.com; governing.com; marketing.governmentnavigator.com; insider.govtech.com,privacy@erepublic.com,CA
"EAB Global, Inc.",eab.com,www.eab.com,legal@eab.com,CA
"Edvisors Network, Inc.",edvisors.com,www.edvisors.com,customerservice@edvisors.com,CA
"El Toro.com, LLC",eltoro.com,www.eltoro.com,privacy@eltoro.com,CA
"Electronic Voice Services, Inc.",telephonelists.biz,https://www.telephonelists.biz,richard@evs7.com,CA
"eLocal USA, LLC",elocal.com,elocal.com,privacy@elocal.com,CA
"Enigma Technologies, Inc.",enigma.com,enigma.com,privacy@enigma.com,CA
"Epsilon Data Management, LLC",epsilon.com,www.epsilon.com,privacy@epsilon.com,CA
Equifax Information Services LLC,equifax.com,https://www.equifax.com,usprivacy@equifax.com,CA
Equifax Workforce Solutions LLC,theworknumber.com,www.theworknumber.com,usprivacy@equifax.com,CA
Evorra Ltd,evorra.com,www.evorra.com,privacy@evorra.com,CA
Exact Match Marketing Inc,exactmatchmarketing.com,exactmatchmarketing.com; app.exactmatchmarketing.com; exactmatch.io,datarequest@exactmatch.io,CA
"Experian Information Solutions, Inc",experian.com,https://www.experian.com,CA_DROP_FSD@experian.com,CA
"Experian Marketing Solutions, LLC",experian.com,https://www.experian.com,CA_DROP_EMS@experian.com,CA
Eyeota Pte Ltd,eyeota.com,https://www.eyeota.com,privacy@eyeota.com,CA
"Family Tree Now, LLC",familytreenow.com,familytreenow.com,privacy@familytreenow.com,CA
Famous Birthdays LLC,famousbirthdays.com,famousbirthdays.com; https://pro.famousbirthdays.com,privacy@famousbirthdays.com,CA
"Faraday, Inc.",faraday.ai,faraday.ai,ccpa@faraday.io,CA
"Fetch Rewards, LLC",fetch.com,https://fetch.com,c.brown@fetchrewards.com,CA
FI Navigator Corporation,fi-navigator.com,https://www.fi-navigator.com,privacy@fi-navigator.com,CA
"Fideo Intelligence, Inc.",fideo.ai,www.fideo.ai,dpo@fideo.ai,CA
"Findem, Inc.",findem.ai,www.findem.ai,privacy@findem.ai,CA
Fog Data science LLC,fogdatascience.com,https://www.fogdatascience.com,info@fogdatascience.com,CA
"Forager.ai, LLC",forager.ai,forager.ai,privacy@forager.ai,CA
Four Corner Media Corp,fourcornerhome.com,https://fourcornerhome.com; https://jacksgutters.com; https://bennetandsons.com,John@fourcornerhome.com,CA
Fourleaf LLC,fourleafdata.com,www.fourleafdata.com,privacy@fourleafdata.com,CA
"Foursquare Labs, Inc.",foursquare.com,https://foursquare.com,privacyteam@foursquare.com,CA
Fraiser LLC,fraiser.org,fraiser.org,privacy@fraiser.org,CA
"FREEPEOPLESEARCH.COM, LLC",freepeoplesearch.com,freepeoplesearch.com,compliance@freepeoplesearch.com,CA
FreeWheel Media Inc,freewheel.com,https://www.freewheel.com,legalnotices@freewheel.com,CA
"Fushia Media, LLC",fushiamedia.com,www.fushiamedia.com,lgold@fushiamedia.com,CA
General Motors LLC,gm.com,www.gm.com,privacy@gm.com,CA
"Giant Partners, Inc.",giantpartners.com,www.giantpartners.com; www.listgiant.com,nikki@giantpartners.com,CA
Global Source Data Solutions Inc,gsdsi.com,gsdsi.com,privacy@gsdsi.com,CA
Grassroots Analytics,grassrootsanalytics.com,https://www.grassrootsanalytics.com,operations@grassrootsanalytics.com,CA
GrayHair Software LLC,grayhairsoftware.com,https://grayhairsoftware.com,privacy@grayhairsoftware.com,CA
Graze Social PBC,graze.social,www.graze.social,devin@graze.social,CA
"Growing Libraries, LLC",growinglibraries.com,www.growinglibraries.com,ian@growinglibraries.com,CA
"GrowthCode, LLC",growthcode.io,www.growthcode.io,jonathon@growthcode.io,CA
"H1 Insights, Inc.",h1.co,www.h1.co,inquiries@h1.co,CA
"Health Union, LLC",health-union.com,health-union.com,privacy@health-union.com,CA
HealthWise Data,healthwisedata.com,https://www.healthwisedata.com,privacy@healthwisedata.com,CA
Helix Campaigns LLC,helixcampaigns.com,helixcampaigns.com,info@helixcampaigns.com,CA
"HubSpot, Inc.",hubspot.com,https://www.hubspot.com; https://clearbit.com,Privacy@hubspot.com,CA
"Hunter Web Services, Inc",hunter.io,hunter.io,matt@hunter.io,CA
"i360, LLC",i-360.com,https://www.i-360.com,privacy@i-360.com,CA
IDMAP Inc,idmap.ai,idmap.ai,michael.belsky@idmap.ai,CA
"iLeads.com, LLC",ileads.com,www.iLeads.com,remove@ileads.com,CA
Index Exchange Inc.,indexexchange.com,https://www.indexexchange.com,privacy@indexexchange.com,CA
Infomatics LLC,privatereports.com,privatereports.com; mugshotlook.com; publicsearcher.com,support@privatereports.com,CA
Informa Group Limited,informa.com,https://www.informa.com,groupdpo@informa.com,CA
"INFORMATION.COM, LLC",information.com,information.com,compliance@information.com,CA
"Inmar Brand Solutions, Inc.",inmar.com,inmar.com,privacy_office@inmar.com,CA
"Inmar-OIQ, LLC",inmar.com,www.inmar.com,databroker@inmar.com,CA
"Innovative Database Solutions, Inc.",idatabasesolutions.com,www.idatabasesolutions.com,justin@idatabasesolutions.com,CA
Insightbridge LLC,mylife.com,https://www.mylife.com,membersupport@mylife.com,CA
Institutional Shareholder Services Inc.,issgovernance.com,https://www.issgovernance.com,dataprotectionofficer@issgovernance.com,CA
Intent IQ LLC,intentiq.com,www.intentiq.com,privacy@intentiq.com,CA
"Intentsify, LLC",intentsify.io,https://www.intentsify.io,legal@intentsify.io,CA
"Interactive Data, LLC",ididata.com,https://www.ididata.com,statebasedprivacy@ididata.com,CA
iovation Inc.,transunion.com,www.transunion.com,privacy@transunion.com,CA
IQVIA Digital Inc.,iqviadigital.com,https://www.iqviadigital.com; https://www.iqvia.com,privacyofficer@iqvia.com,CA
"Irys, Inc",irys.us,irys.us,Privacy@irys.us,CA
"iSpot.tv, Inc.",ispot.tv,www.ispot.tv,privacy@ispot.tv,CA
IXI Corporation,equifax.com,equifax.com,usprivacy@equifax.com,CA
J.D. Power,jdpower.com,https://www.jdpower.com,jdpowerprivacy@jdpa.com,CA
"Juicebox App, Inc.",juicebox.ai,https://juicebox.ai,privacy@juicebox.work,CA
Kargo Global LLC,kargo.com,https://www.kargo.com,ccparequest@kargo.com,CA
Keyword Connects LLC,keywordconnects.com,keywordconnects.com,operations@ignitevisibility.com,CA
"Kind Skiptracing, Inc",kindskiptracing.com,https://kindskiptracing.com,compliance@kindskiptracing.com,CA
"Kloudend, Inc.",ipapi.co,ipapi.co,privacy@kloudend.com,CA
"Koddi, Inc",koddi.com,http://www.koddi.com,dataprivacy@koddi.com,CA
L.S Mobile Apps Holdings LTD,lsmapps.com,www.lsmapps.com,guy.hamawi@lsmapps.com,CA
"LeadIQ, Inc",leadiq.com,leadiq.com,privacy@leadiq.com,CA
LeadPost LLC,leadpost.com,https://leadpost.com,amanda@leadpost.com,CA
Leadspace Inc,leadspace.com,https://www.leadspace.com,compliance_privacy@leadspace.com,CA
"LearnMore, LLC",learnmore.com,learnmore.com,compliance@learnmore.com,CA
"Leidos Digital Solutions, Inc.",leidosiq.com,www.leidosiq.com,privacy@leidos.com,CA
LexisNexis Risk Solutions FL Inc.,lexisnexis.com,https://risk.lexisnexis.com,consumer.documents@lexisnexisrisk.com,CA
ListKit LLC,listkit.io,www.listkit.io,andre@listkit.io,CA
"Live Data Technologies, Inc.",livedatatechnologies.com,livedatatechnologies.com,remove@livedatatechnologies.com,CA
LiveIntent,liveintent.com,www.liveintent.com,privacy@zetaglobal.com,CA
"LiveRamp Holdings, Inc.",liveramp.com,www.liveramp.com,consumercare@liveramp.com,CA
"LizDev,Inc",lizdev.com,lizdev.com,privacyanddatacompliancereview@lizdev.com,CA
"Lob.com, Inc.",lob.com,lob.com,privacy.inbox@lob.com,CA
Lookify.io,lookify.io,https://lookify.io,support@lookify.io,CA
"M1 Data & Analytics, LLC",m1-data.com,m1-data.com,service@m1-data.com,CA
Magnite Inc,magnite.com,www.magnite.com,privacy@magnite.com,CA
Malvern Media Inc.,malvernmedia.com,www.malvernmedia.com,info@malvernmedia.com,CA
"Marketing Architects, Inc.",marketingarchitects.com,https://www.marketingarchitects.com,privacy@markarch.com,CA
MarketOps LLC,marketops.com,https://www.marketops.com,privacy@marketops.com,CA
"MarketShare Partners, LLC",transunion.com,www.transunion.com,ns_privacy@transunion.com,CA
"Marriott International, Inc.",marriott.com,marriott.com,privacy@marriott.com,CA
"Matchbook Data, LLC",matchbookdata.com,https://www.matchbookdata.com,privacy@matchbookdata.com,CA
"Media.net Advertising FZ, LLC",media.net,https://www.media.net,privacy@media.net,CA
MediaWallah Inc,mediawallah.com,www.mediawallah.com,privacy@mediawallah.com,CA
"Meltwater News US, Inc.",meltwater.com,www.meltwater.com,privacy@meltwater.com,CA
Merkle Inc.,merkle.com,Merkle.com,americas.dpo@dentsu.com,CA
Message Digital LLC,messagedigital.com,https://messagedigital.com,privacy@messagedigital.com,CA
"MH Sub I, LLC",internetbrands.com,www.internetbrands.com,privacy@internetbrands.com,CA
Moody's Corporation,moodys.com,www.moodys.com,Privacy@moodys.com,CA
"Narvar, Inc",narvar.com,https://corp.narvar.com,legal@narvar.com,CA
"National Opinion Institute, LLC",nationalopinioninstitute.com,https://nationalopinioninstitute.com,privacy@nationalopinioninstitute.com,CA
Neptune Ops LLC,neptuneops.com,https://www.neptuneops.com,miller@neptuneops.com,CA
"Neustar Information Services, Inc.",transunion.com,www.transunion.com,ns_privacy@transunion.com,CA
"NEUSTAR IP INTELLIGENCE, INC.",transunion.com,www.transunion.com,ns_privacy@transunion.com,CA
New Mexico Data Insights,newmexicodatainsights.com,newmexicodatainsights.com,privacy@eleris.com,CA
Nexxen Inc,nexxen.com,nexxen.com,compliance@nexxen.com,CA
Nordic Data Resources AS,nordicdataresources.com,www.nordicdataresources.com,privacy@nordicdataresources.com,CA
NumLookup LLC.,numlookup.com,https://www.numlookup.com,hello@numlookup.com,CA
Nuwber Inc,nuwber.com,nuwber.com,support@nuwber.com,CA
Ogury Ltd,ogury.com,https://ogury.com,legal@ogury.co,CA
ONAUDIENCE LTD,onaudience.com,www.onaudience.com,privacy@onaudience.com,CA
"OpenX Technologies, Inc.",openx.com,https://www.openx.com,privacy@openx.com,CA
"Outlogic, LLC",outlogic.io,outlogic.io,privacy@outlogic.io,CA
"PaeDae, Inc.",infillion.com,www.infillion.com,privacy@infillion.com,CA
People Data Labs,peopledatalabs.com,peopledatalabs.com,privacy@peopledatalabs.com,CA
"Peoplewhiz, Inc",peoplewhiz.com,https://www.peoplewhiz.com,cyrus@peoplewhiz.com,CA
"Pipl, Inc.",pipl.com,https://pipl.com,privacy@pipl.com,CA
PitchBook Data Inc,pitchbook.com,www.pitchbook.com,legal@pitchbook.com,CA
"Place Exchange, Inc.",placeexchange.com,https://www.placeexchange.com,privacy@placeexchange.com,CA
"PMG Worldwide, LLC",pmg.com,https://www.pmg.com,dataprivacy@pmg.com,CA
"PossibleNOW, Inc.",possiblenow.com,possiblenow.com,californiadrop@possiblenowmarketing.com,CA
"Postie, Inc",postie.com,https://postie.com,legal@postie.com,CA
"PostPilot, Inc.",postpilot.com,www.postpilot.com,operations@postpilot.com,CA
Preqin Ltd,preqin.com,www.preqin.com,preqin.dp@blackrock.com,CA
Private Records LLC,privaterecords.net,https://www.privaterecords.net; peoplesearch123.com; backgroundcheckers.net; personsearchers.com,support@privaterecords.net,CA
"PropertyRadar, Inc.",propertyradar.com,www.propertyradar.com,privacy@propertyradar.com,CA
ProspectBase UK Limited,prospectbase.com,www.prospectbase.com,privacy@prospectbase.com,CA
"PublicRecordCom, LLC",publicrecord.com,publicrecord.com,compliance@publicrecord.com,CA
Quadrant Global Pte. Ltd.,quadrant.io,https://www.quadrant.io,privacy@quadrant.io,CA
"Quorum Data, Inc",quorum.inc,www.quorum.inc; app.quorum.live,ezra@quorum.inc,CA
Rainbarrel USA LLC,knowertech.com,knowertech.com,privacy@rbarrel.com,CA
REAL INTENT INC,realintent.co,https://realintent.co,aaron@realintent.co,CA
Realeflow LLC,realeflow.com,www.realeflow.com; www.leadflow.com,privacy@realeflow.com,CA
"RealSource, Inc",realsourcedata.com,www.realsourcedata.com,privacy@realsourcedata.com,CA
RecruitBot,recruitbot.com,www.recruitbot.com,privacy@salesbot.io,CA
Redi-Data Inc,redidata.com,www.redidata.com,privacy@redidata.com,CA
"RelPro, Inc.",relpro.com,https://www.relpro.com,info@relpro.com,CA
"Remodeling.com, LLC",remodeling.com,www.remodeling.com,operations@ignitevisibility.com,CA
Resonate,resonate.com,www.resonate.com,techleads@resonate.com,CA
"Response America, Inc.",responseamerica.net,ResponseAmerica.net,ncoa@responseamerica.net,CA
"RevContent, LLC",revcontent.com,https://www.revcontent.com,privacy@revcontent.com,CA
"Reveal Mobile, Inc.",revealmobile.com,https://www.revealmobile.com,info@revealmobile.com,CA
"Revelio Labs, Inc.",reveliolabs.com,www.reveliolabs.com,hannah@reveliolabs.com,CA
"RevOptimal, LLC",revoptimal.com,revoptimal.com,privacy@revoptimal.com,CA
Rich Media LLC,richmediallc.com,www.richmediallc.com,jeff@richmediallc.com,CA
Ripple Effect Strategies,ripple-fx.com,ripple-fx.com; ripple-roi.com,dylan@ripple-fx.com,CA
RocketReach LLC,rocketreach.co,https://rocketreach.co,privacy@rocketreach.co,CA
Roq.ad Inc.,roq.ad,www.roq.ad,contact@roq.ad,CA
"Round Sky, Inc.",roundsky.com,www.roundsky.com,legal@roundsky.com,CA
"SalesIntel Research, Inc.",salesintel.io,www.salesintel.io,support@salesintel.io,CA
Salutary Data LLC.,salutarydata.com,https://salutarydata.com,privacy@salutarydata.com,CA
"Samba TV, Inc.",samba.tv,https://www.samba.tv,jagdip.sekhon@samba.tv,CA
"SBFE, LLC",sbfe.org,sbfe.org,info@sbfe.org,CA
SEMANTIQ INC,semantiqhealth.com,https://semantiqhealth.com,ops@semantiqhealth.com,CA
"Semcasting, Inc.",semcasting.com,www.semcasting.com,jgreer@semcasting.com,CA
"Share Local Media, Inc.",sharelocalmedia.com,https://www.sharelocalmedia.com,privacy-team@sharelocalmedia.com,CA
Sharethrough,sharethrough.com,https://www.sharethrough.com,dataprotection@sharethrough.com,CA
Similarweb Ltd.,similarweb.com,www.similarweb.com,legal@similarweb.com,CA
"Simio Cloud, LLC",simiocloud.com,www.simiocloud.com,privacy@simiocloud.com,CA
Site Impact LLC,siteimpact.com,www.siteimpact.com,dataprivacy@siteimpact.com,CA
Skydeo Inc.,skydeo.com,skydeo.com,privacy@skydeo.com,CA
Snovio Inc,snov.io,snov.io,v.budkevych@snov.io,CA
Source Path Digital,sourcepathdigital.com,sourcepathdigital.com,privacy@sourcepathdigital.com,CA
"Sovrn, Inc.",sovrn.com,https://www.sovrn.com,privacy@sovrn.com,CA
"Sports Innovation Lab, inc.",sportsilab.com,https://www.sportsilab.com,privacy@sportsilab.com,CA
"Sprout Social, Inc.",sproutsocial.com,www.sproutsocial.com,dpo@sproutsocial.com,CA
SpyCloud Inc.,spycloud.com,www.spycloud.com,privacy@spycloud.com,CA
Statara Solutions LLC,statara.com,https://statara.com,privacy@statara.com,CA
"Steppingblocks, Inc.",steppingblocks.com,https://www.steppingblocks.com,privacy@steppingblocks.com,CA
Sterling Data Company LLC,sterling.ai,sterling.ai,privacy@sterling.ai,CA
"Strategic Data Intelligence, LLC",strategicdataintelligence.com,strategicdataintelligence.com,m.curtis@sdintelligence.com,CA
"Subgraph, Inc",subgraph.tech,https://subgraph.tech,privacy@subgraph.tech,CA
"Swarm Holdings, Inc.",theswarm.com,www.theswarm.com,privcy@theswarm.com,CA
Swoop.com Inc,swoop.com,https://swoop.com,privacyrights@swoop.com,CA
"Taboola, Inc.",taboola.com,www.taboola.com,privacy@taboola.com,CA
Tapad,experian.com,www.experian.com,CA_DROP_TAPAD@experian.com,CA
TargetSmart Communications LLC,targetsmart.com,https://targetsmart.com,privacy@targetsmart.com,CA
Tauxbe Data Inc.,tauxbe.com,www.tauxbe.com; www.natcrim.com,sourcing@tauxbe.com,CA
Teads Holding Co,outbrain.com,https://www.outbrain.com,privacy@teads.com,CA
Teads Inc,teads.com,https://www.teads.com,dpo@teads.com,CA
Telesign Corporation,telesign.com,www.telesign.com,california-opt-out@telesign.com,CA
"The Data Group, LLC",thedatagroup.com,thedatagroup.com,jhenson@thedatagroup.com,CA
THE LINEA 1 MKT SL,tl1mkt.com,https://www.tl1mkt.com,fran@tl1mkt.com,CA
The People Searchers LLC,peoplesearcher.com,http://www.peoplesearcher.com; http://www.secretinfo.org,support@peoplesearcher.com,CA
"T-Mobile USA, Inc.",t-mobile.com,https://www.t-mobile.com,mmp-privacy@t-mobile.com,CA
"Traackr, Inc.",traackr.com,https://www.traackr.com,legal@traackr.com,CA
TransUnion Digital LLC,transunion.com,www.transunion.com,privacy@transunion.com,CA
"TransUnion Interactive, Inc.",transunion.com,www.transunion.com,privacy@transunion.com,CA
"TransUnion Risk and Alternative Data Solutions, Inc.",transunion.com,www.transunion.com,privacy@transunion.com,CA
"Trestle Solutions, Inc.",trestleiq.com,trestleiq.com,privacy@trestleiq.com,CA
True Blue Analytics LLC,trueblueanalytics.org,trueblueanalytics.org,Privacy@trueblueanalytics.org,CA
"TRUSTID, Inc.",transunion.com,www.transunion.com,ns_privacy@transunion.com,CA
Truth Now LLC,checksecrets.com,checksecrets.com; peoplesearchUSA.org; inmatesearcher.com; sealedrecords.net,support@checksecrets.com,CA
